strength_multiplier,n_sim,false_saddle_fraction,observed_or_more_negative_fraction,null_det_true,det_median,det_q05,det_q95,n_soundings,observed_det,max_azimuthal_gap_deg,center_inside_convex_hull
0.5,20000,0.2675,0.00425,4.458527739479803,3.781946034404461,-7.5515666301690825,18.245495035397454,14,-17.834110957919204,207.86134404335263,False
0.75,20000,0.15915,0.0087,10.031687413829555,9.417513309777487,-7.1087099446573605,29.39060048048248,14,-17.834110957919204,207.86134404335263,False
1.0,20000,0.0921,0.0084,17.834110957919204,17.36135518194491,-4.751390074276787,42.95612411990458,14,-17.834110957919204,207.86134404335263,False
1.25,20000,0.0509,0.0059,27.865798371748756,27.429923834685304,-0.11255318091022398,58.239818032319555,14,-17.834110957919204,207.86134404335263,False
1.5,20000,0.0297,0.0048,40.12674965531823,39.83293781912794,5.994119655598802,77.30082091911022,14,-17.834110957919204,207.86134404335263,False
