epsilon,seed_group,n_posterior,information_root,gap
0.05,1101,4000,4.135883620689655,0.018687689118994655
0.05,2202,4000,4.135347222222222,0.019224087586427352
0.05,3303,4000,4.135627906976744,0.018943402831905765
0.05,4404,4000,4.135576923076923,0.01899438673172682
0.1,1101,4000,4.11712962962963,0.037441680179020054
0.1,2202,4000,4.119307692307692,0.03526361750095752
0.1,3303,4000,4.1168018018018016,0.037769508006848085
0.1,4404,4000,4.117142857142857,0.0374284526657922
0.15,1101,4000,4.100483870967742,0.05408743884090761
0.15,2202,4000,4.099324324324324,0.055246985484325606
0.15,3303,4000,4.099714285714286,0.05485702409436399
0.15,4404,4000,4.101666666666667,0.052904643141983065
0.2,1101,4000,4.08047619047619,0.07409511933245927
0.2,2202,4000,4.082424242424242,0.07214706738440757
0.2,3303,4000,4.082857142857143,0.0717141669515069
0.2,4404,4000,4.082755102040816,0.07181620776783326
0.3,1101,4000,4.050163934426229,0.1044073753824204
0.3,2202,4000,4.048088235294117,0.1064830745145322
0.3,3303,4000,4.046063829787234,0.10850748002141586
0.3,4404,4000,4.051984126984126,0.10258718282452328
