time,n_posterior,switch_probability
3.4,3000,0.9926666666666667
3.425,3000,0.9906666666666667
3.4499999999999997,3000,0.9883333333333333
3.4749999999999996,3000,0.9826666666666667
3.4999999999999996,3000,0.997
3.5249999999999995,3000,0.9913333333333333
3.5499999999999994,3000,0.9903333333333333
3.5749999999999993,3000,0.9863333333333333
3.599999999999999,3000,0.9763333333333334
3.624999999999999,3000,0.9736666666666667
3.649999999999999,3000,0.966
3.674999999999999,3000,0.9636666666666667
3.699999999999999,3000,0.943
3.7249999999999988,3000,0.933
3.7499999999999987,3000,0.953
3.7749999999999986,3000,0.945
3.7999999999999985,3000,0.9303333333333333
3.8249999999999984,3000,0.9096666666666666
3.8499999999999983,3000,0.8946666666666667
3.8749999999999982,3000,0.8726666666666667
3.899999999999998,3000,0.8406666666666667
3.924999999999998,3000,0.8073333333333333
3.949999999999998,3000,0.789
3.974999999999998,3000,0.749
3.999999999999998,3000,0.7703333333333333
4.024999999999998,3000,0.7386666666666667
4.049999999999997,3000,0.6836666666666666
4.0749999999999975,3000,0.6546666666666666
4.099999999999998,3000,0.589
4.124999999999997,3000,0.5423333333333333
4.149999999999997,3000,0.509
