time,latent_posterior_uncertainty
3.4,0.049143414681099215
3.425,0.04931111324562328
3.45,0.04947090115308239
3.475,0.04962317693362366
3.5,0.04789134682497782
3.5249999999999995,0.04811899656385733
3.5499999999999994,0.048335626703016124
3.5749999999999997,0.048541820686546326
3.599999999999999,0.048738126020557285
3.624999999999999,0.048925057007134
3.649999999999999,0.049103097216241946
3.674999999999999,0.04927270172640519
3.699999999999999,0.04943429916071316
3.724999999999999,0.04958829354111389
3.749999999999999,0.047861418118462236
3.774999999999999,0.04809052062943925
3.7999999999999994,0.04830852621049343
3.8249999999999984,0.04851602311194801
3.8499999999999983,0.0487135632759666
3.8749999999999982,0.048901665106485484
3.899999999999998,0.049080815972802914
3.924999999999998,0.049251474478254675
3.949999999999998,0.049414072521036814
3.974999999999998,0.04956901717056003
3.999999999999998,0.04784854668277753
4.024999999999998,0.048078274277902976
4.049999999999997,0.048296871640600196
4.0749999999999975,0.048504929094112095
4.099999999999998,0.048703000493537055
4.124999999999997,0.04889160601134407
4.149999999999997,0.04907123465468278
