time,n_posterior,selected_angle_rad,successes,switch_probability,wilson_low,wilson_high,selection_probability
3.765,20000,3.1440697263493775,19067,0.95335,0.9503392188195184,0.9561866620884115,0.9582857142857143
3.77,20000,3.1632639243092293,18972,0.9486,0.9454526889453262,0.9515750163051367,0.9465714285714286
3.775,20000,3.147462054184801,18918,0.9459,0.942678381663012,0.9489503605821539,0.9457142857142857
