projected_mean_bias_sigma,probe_time,physical_root,selected_angle,nominal_true_terminal_x,switch_probability,below_95pct
-0.5,4.0,4.155097306526392,3.126592653589793,-0.737233212564034,0.8926666666666667,True
-0.25,4.0,4.155097306526392,3.081592653589793,-0.7324006915969389,0.8366666666666667,True
0.0,4.0,4.155097306526392,3.126592653589793,-0.737233212564034,0.7666666666666667,True
0.25,4.0,4.155097306526392,3.141592653589793,-0.7380634846885495,0.6986666666666667,True
0.5,4.0,4.155097306526392,3.1565926535897932,-0.7385256357677272,0.592,True
