deformation_multiplier,coupling_multiplier,physical_root,probe_time,selected_angle,nominal_terminal_x,posterior_switch_probability,information_limited_at_probe
0.8,0.8,4.093379295070147,3.89,3.1565926535897932,-0.5756125913346383,0.75425,True
0.8,1.0,4.4272914860485315,4.23,3.141592653589793,-0.598945760787029,0.759,True
0.8,1.2,4.679122295681904,4.48,3.081592653589793,-0.617438925762331,0.77075,True
1.0,0.8,3.8473251717631802,3.65,3.1565926535897932,-0.7589551925840682,0.75825,True
1.0,1.0,4.155097306526392,3.96,3.141592653589793,-0.7738973973285076,0.77975,True
1.0,1.2,4.383295739817292,4.18,3.141592653589793,-0.789296621643,0.81675,True
1.2,0.8,3.6607247953002116,3.46,3.171592653589793,-0.8405768051569649,0.75325,True
1.2,1.0,3.94537158230843,3.75,3.1115926535897933,-0.8458279031478528,0.82675,True
1.2,1.2,4.163802143875673,3.96,3.126592653589793,-0.8511060378785108,0.81625,True
