mission,midtime,track_speed_ms
20190825N1,2019-08-25 21:30:00,6.437892432204475
20190826N1,2019-08-26 21:00:00,5.43670168033725
20190827N1,2019-08-27 21:00:00,5.553997428606025
20190828N1,2019-08-28 21:00:00,6.124197385412378
20190829N1,2019-08-29 21:00:00,5.334122739463107
20190901N1,2019-09-01 09:00:00,5.561919815757759
20190902N1,2019-09-02 07:30:00,1.4046933910244022
20190903N1,2019-09-03 09:30:00,1.56131086051119
20190904N1,2019-09-04 09:30:00,3.5310902997796125
