mission,r_km,x_km,y_km,u850_300,v850_300
20190902N1,818.9960773906729,-815.2889389958992,77.83649999999992,-4.572,0.6152727272727272
20190902N1,671.4565655770956,-671.0242044416326,-24.09225000000021,-4.070909090909091,-0.8636363636363636
20190902N1,551.2946400419532,-541.789913215837,-101.92875000000012,-3.418909090909091,-2.169727272727273
20190902N1,469.60198923018913,-188.85334567581972,429.954,-4.832363636363636,-1.6477272727272727
20190902N1,559.4667315736517,-89.45684795170439,552.2685000000001,-3.6458181818181834,0.7816363636363637
20190902N1,652.4197199453725,-9.939649772412382,652.344,-1.8969090909090909,2.2962727272727275
20190902N1,544.4253109054861,59.63789863446864,541.149,-4.848636363636364,2.8865454545454545
20190902N1,545.3162815555118,198.7929954482307,507.7905,-4.537272727272727,3.679454545454545
20190902N1,677.4853740102279,218.67229499305265,641.2244999999998,-2.8851818181818185,4.740818181818182
20190902N1,730.251822292084,352.80607794416875,639.3712499999999,-2.663454545454545,5.3817272727272725
20190902N1,610.6195423448962,372.6824767015855,483.69825000000014,-4.882636363636363,5.156727272727273
20190902N1,616.0300220580567,482.0026698673847,383.6227500000003,-4.581727272727273,5.301545454545455
20190902N1,482.8240862513285,293.1768816719142,383.6227500000003,-5.544272727272727,5.439090909090909
20190902N1,406.6215180067715,24.845498446772364,405.8617500000002,-7.993545454545454,1.3772727272727272
